Engels,Nederlands,Na ;
sickly,ziekelijk,slecht
silly,"dom, dwaas, onnozel (people, things)",
skinny,mager,
sleazy,"goor, vies (seksueel)",
slippy/slippery,glad(dig),
slitty,"spletig, met spleetjes",
sloppy,"onzorgvuldig, slordig",
sludgy,"modderig, met bezonken grond",
slushy,papperig,
smudgy,beduimeld,
snappy,"happerig, bijtend",kortaf
snippy,kregelig,
snooty,verwaand,
snowy,besneeuwd,
soggy,"zompig, drassig",
spicy,kruidig,
spindly,"spichtig, stakig",
sporty,sportief,
sprauncy,"opzichtig, opvallend, schel",
springy,"veerkrachtig, geveerd",
squashy,zacht overrijp,
squatty,,
squeaky,piepend,
squidgy,"zacht, mals",
squiggly,kronkelig,
squishy,"zacht, mals (bijv. modder)",
starkly,"wild, geweldig",
steamy,"vol stoom, heet",
sticky,"kleverig, plakkerig",
stingy,"krenterig, gierig, te zuinig",
stocky,gezet,
streak,"gestreept, gelaagd",
stringy [2strIi],"vezel-, draadachtig",
stripy,gestreept,
stroppy,"lastig, tegendraads",
stuffy,"stofferig, bevangen",bekrompen ouderwets
sulky,"nukkig, pruilerig, zagerig",triest (weer)
sunny,zonnig,
swanky,"chique, elegant",
swishy,"luchtig zwiepend, ruisend",
tacky,"kleverig, plakkerig, halfdroog",
tangy [2t{i],"scherp, pittig (van smaak)",
tarty,zurig,
tatty,"slordig, slonzig",
tawdry,"opzichtig, opgedirkt, opgetakeld, (kakel)bont",
tawny,bruinachtig,
testy,"prikkelbaar, nerveus, lichtgeraakt",
tetchy,"prikkelbaar, vervelend (ambetant, ergerlijk)",
tinny,"van tin gemaakt, tinachtig",
tiny,petieterig klein,
touchy,lichtgeraakt,
trendy,modieus,
tricky,"moeilijk, netelig",
twitchy,"nerveus, ongemakkelijk",
veggie,"groente, plant, vegetarisch",
wacky,"leuk, kierewiet, knettergek (positieve connotatie)",
wafty,"royaal, weelderig",
warty,met wratten,
wary,op je hoede,
weedy,"slungelig, spichtig",
wheezy,kortademig,
whiffy,"stinkend, met een geurtje",
wiggly,"schommelend, wiegend, kronkelend",
wily,"sluw, geslepen, listig",
wingy,,
wiry,draadachtig,
wispy,spichtig (van planten),
witty,"spitsvondig, geestig",
wonky,"wankel, onstabiel",
yummy,"lekker, smakelijk",
zany,"grappig, idioot",
zingy,"blits, schitterend",
